,file_name,compile_time,run_time,status
92,52_scope.c,101.95541381835938,13.353347778320312,AC
93,53_scope2.c,100.15368461608887,14.024019241333008,AC
94,54_hidden_var.c,101.81069374084473,14.151573181152344,AC
95,55_sort_test1.c,113.82651329040527,14.036893844604492,AC
96,56_sort_test2.c,109.86661911010742,13.548851013183594,AC
97,57_sort_test3.c,118.69931221008301,14.610767364501953,AC
98,58_sort_test4.c,114.92371559143066,13.256311416625977,AC
99,59_sort_test5.c,130.6326389312744,15.250682830810547,AC
100,60_sort_test6.c,126.88612937927246,14.093875885009766,AC
101,61_sort_test7.c,117.80929565429688,14.70327377319336,AC
102,62_percolation.c,131.61826133728027,14.657258987426758,AC
103,63_big_int_mul.c,116.15133285522461,14.14036750793457,AC
104,64_calculator.c,166.21994972229004,14.854907989501953,AC
